Question, Answer 1, Answer 2, Answer 3, Answer 4, Answer 5, Answer 6, Answer 7, Answer 8
Name something you might keep in your car just in case,Money/Coins,Food/Water,First Aid Kit,Spare Tire,Map,Jumper Cables,Spare Clothes,Gas Can
HLS CUSTOM QUESTION # 1,Test,test,,,,,,
Name a place teens in horror movies go when there is a killer on the loose,Cabin/Camp/The Woods,Graveyard,Movie Theater,Basement,Closet,Bathroom,Bedroom,A Party
HLS Custom Question # 2,Test,test,,,,,,
Name something that might be full of holes,Cheese,Clothes/Socks,An Alibi/Story,Net,Strainer,Golf Course,Screen,Road
HLS Custom Question # 3,Test Test ,test,,,,,,
Name something that might be brewing,Coffee,Beer,Tea,Trouble,A Storm,A Plot,A Potion,
HLS Custom Question # 4,Test,Test,,,,,,
Name a house you never want to be in ,Haunted House,Jail House ,Dog House,Drug House,Small House,Glass House,Cat House,Outhouse
HLS CUSTOM QUESTION #5,Test Test,Test,,,,,,
Name something you may find at a breakfast buffet,Eggs,Bacon,Sausage,Potatoes/Hash Browns,Juice,Coffee,Melon,Cereal
HLS CUSTOM QUESTION #6,TEST TEST,test,,,,,,
Name the first thing you do when you wake up,Brush Teeth,Brew Coffee,Check Phone,Shower,Make Bed ,,,
HLS CUSTOM QUESTION # 7,Test Test,Test,,,,,,
Name an Occupation beginning with the letter 'J',Janitor,Judge/Justice,Jeweler,Jockey,Journalist,Juggler,,
Name something that might give a snowman nightmares ,Sun,Summer,Fire/Flame Throwers,Rain,Snowplow/Shovel,Drought,Snowballs,Peeing Dogs
Name something inside a candy bar,Chocolate,Peanuts,Caramel,Almonds,Nougat,Coconut,,
HLS CUSTOM QUESTION # 8,Test Test,Test,,,,,,
Name Something You Might See Outside That Would Make You Want to Stay Inside,Bad Weather/Tornado,Bear/Animal,Zombies,Apocalypse,Fire/Smoke,Bad Celebrities,,
Name an Avenger,Captian America,Iron Man,Black Panther,Hulk,Thor,Black Widow,Spiderman,Hawkeye
Name something that a bad customer would do,Lousy Tip,Return the Food,Act Rude,Ask to see the Manager,Snap their Fingers,Spill Things,,
Name something people do to change their appearance,Dye Their Hair,Cut Their Hair,New Wardrobe,Lose Weight,Piercing/Tattoo,,,
Name a place people hate waiting in line,Hospital,Theme Park,DMV,Restrooms,Movie Theatres,,,
Name Something Related to France,The Eiffel Tower,The Mona Lisa,The Arc De Triumph,Cheese,Baguettes,Snails,Cowardice,
Name something you did every day in Kindergarden you wish you could do now,Nap,Play/Toys,Recess,Paint/Color,Free Snacks,,,
